Movie Name,Language,IMDb Rating,Year of Release,Maturity Rating,hours,minutes,duration
Mriter Marte Agamon,Bengali,,,NR,1,58,1-2 hrs
Sing Along With Tobee 3 - Super Simple,English,,2019.0,All,1,5,1-2 hrs
Kolilakkam,Malayalam,6.9,1981.0,NR,2,21,2-3 hrs
300: Rise of an Empire,English,6.2,2014.0,18+,1,42,1-2 hrs
Mahaarani,Hindi,,1996.0,NR,1,45,1-2 hrs
Desh,Bengali,,2017.0,13+,2,10,2-3 hrs
Halal Love Story,Malayalam,6.2,2020.0,13+,1,56,1-2 hrs
Transformers Prime Predacons Rising,Hindi,7.5,2019.0,7+,1,1,1-2 hrs
The Banker (4K Restored),English,4.8,1989.0,18+,1,36,1-2 hrs
Jackpot (Tamil),Tamil,5.2,2019.0,All,2,13,2-3 hrs
Sathi Leelavathi,Telugu,8.2,1995.0,NR,2,18,2-3 hrs
Aawhan,Marathi,,2007.0,13+,2,7,2-3 hrs
Shekaram Gari Abbai,Telugu,7.7,2017.0,All,2,10,2-3 hrs
Kida Poosari Magudi,Tamil,,2016.0,All,2,16,2-3 hrs
Kaka Ji - Son of Royal Sardar,Punjabi,5.1,2019.0,13+,2,2,2-3 hrs
Hanuman.com,Bengali,5.4,2019.0,13+,2,4,2-3 hrs
Adwitiya,Bengali,7.1,,NR,1,56,1-2 hrs
Maha Purshudu,Telugu,,1981.0,NR,2,24,2-3 hrs
Napoleon (Malayalam),Malayalam,6.9,2017.0,13+,1,54,1-2 hrs
Kudumba Thalaivan,Tamil,6.4,1962.0,All,2,16,2-3 hrs
Superbad,English,7.6,2007.0,18+,1,53,1-2 hrs
Jatra,Marathi,6.7,2005.0,All,2,17,2-3 hrs
Laawaris,Hindi,,1999.0,13+,2,34,2-3 hrs
Mishrarag - A Symphony,Bengali,,2009.0,NR,1,27,1-2 hrs
Baisey Shraban,Bengali,,,NR,1,21,1-2 hrs
Chhota Bheem - Neeli Pahadi,Hindi,6.8,2020.0,All,1,3,1-2 hrs
Sundarakilladi,Malayalam,6.1,1998.0,All,2,31,2-3 hrs
Kirayi Dada,Telugu,6.8,1987.0,NR,2,4,2-3 hrs
Anuraga Bandham,Telugu,,1995.0,NR,2,8,2-3 hrs
Veerappan,Malayalam,,2014.0,NR,2,41,2-3 hrs
Apaharan,Hindi,7.4,2005.0,13+,2,41,2-3 hrs
Sahasra Siracheda Apoorva Chinthamani,Telugu,7.4,,NR,2,16,2-3 hrs
Amdavad Junction,Hindi,4.4,2013.0,NR,1,31,1-2 hrs
Don,Hindi,7.8,1978.0,All,2,39,2-3 hrs
The Forbidden Kingdom,English,6.6,2008.0,13+,1,40,1-2 hrs
Sleeping in Nature,English,,2019.0,13+,0,52,30-60 mins
Hostage,English,6.6,2005.0,18+,1,48,1-2 hrs
Mauchaak,Bengali,,1975.0,NR,2,7,2-3 hrs
LEGO Jurassic World The Secret Exhibit Part 2,Hindi,6.2,2018.0,7+,0,22,<30 mins
Taxi Driver,English,8.2,1976.0,18+,1,53,1-2 hrs
Sonu Ke Titu Ki Sweety,Hindi,7.1,2018.0,13+,2,17,2-3 hrs
Hindi Medium,Hindi,7.8,2017.0,All,2,11,2-3 hrs
Raju Gari Gadhi 2,Telugu,5.3,2017.0,13+,2,2,2-3 hrs
Zaatari Djinn,English,6.5,2019.0,13+,0,55,30-60 mins
Do No Harm,English,6.9,2020.0,13+,1,30,1-2 hrs
Dushman Duniya ka,Hindi,4.0,1996.0,13+,2,22,2-3 hrs
Vox Lux,English,5.9,2018.0,18+,1,50,1-2 hrs
Alli Ramachari Illi Brahmachari,Kannada,,1992.0,NR,2,13,2-3 hrs
Dosti: Friends Forever,Hindi,5.5,2005.0,All,2,10,2-3 hrs
Flight 192,Hindi,5.0,2016.0,16+,1,25,1-2 hrs
Gaayam,Telugu,7.3,1993.0,NR,2,16,2-3 hrs
Khiladi,Bengali,7.2,2013.0,13+,2,26,2-3 hrs
Predestination,English,7.5,2015.0,18+,1,33,1-2 hrs
I.D.,Hindi,6.9,2012.0,NR,1,23,1-2 hrs
Crispy Medu Vadai,Bengali,,2020.0,13+,0,3,<30 mins
Picture This,English,5.3,2020.0,13+,0,34,30-60 mins
Biulir Daal O Alu Posto,Bengali,,2018.0,13+,0,12,<30 mins
Gaali Medalu,Telugu,,,NR,2,14,2-3 hrs
Aattakalasam,Malayalam,6.5,1983.0,NR,2,19,2-3 hrs
Battle Drone,Tamil,5.2,2018.0,16+,1,29,1-2 hrs
Some Will Forget,English,7.2,2020.0,13+,0,15,<30 mins
"An American Girl Story: Summer Camp, Friends For Life [Ultra HD]",Hindi,6.4,2017.0,All,0,32,30-60 mins
Gangs of Madras,Tamil,5.5,2019.0,18+,2,18,2-3 hrs
Songshay,Bengali,,2007.0,NR,2,3,2-3 hrs
Kshay,Hindi,6.9,2012.0,18+,1,32,1-2 hrs
Dataland,English,7.3,2020.0,13+,0,0,<30 mins
Parinati,Bengali,7.2,1986.0,NR,2,10,2-3 hrs
Bidehir Khonje Rabindranath,Bengali,,2011.0,NR,1,34,1-2 hrs
